datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,972,1499,975
,,957,1504,963
,,991,1495,972
,,990,1500,982
,,954,1482,961
,,970,1515,965
,,977,1485,978
,,973,1493,985
,,969,1485,968
,,974,1500,967
,,972.7,1495.8,971.6
2024-04-22_10-52,custom/15_1200.qasm,972.7,1495.8,971.6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",100,/home/lit/ray_results/PPO_2024-04-22_10-52-14/PPO_CircuitEnvTest_v7_52db2_00000_0_2024-04-22_10-52-14/checkpoint_000000,PPO_2024-04-22_10-52-14
,,1976,3190,1964
,,1995,3167,2008
,,1990,3184,1965
,,2002,3169,1969
,,1959,3198,1978
,,1982,3146,1984
,,1993,3173,2021
,,2010,3164,1976
,,1975,3151,1981
,,1999,3145,1970
,,1988.1,3168.7,1981.6
2024-04-22_11-18,custom/15_2400.qasm,1988.1,3168.7,1981.6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",100,/home/lit/ray_results/PPO_2024-04-22_11-18-51/PPO_CircuitEnvTest_v7_0aeb2_00000_0_2024-04-22_11-18-51/checkpoint_000000,PPO_2024-04-22_11-18-51
