datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,26,34,33,,,,
,,26,34,30,,,,
,,26,39,25,,,,
,,25,36,21,,,,
,,26,33,39,,,,
,,26,41,24,,,,
,,26,33,37,,,,
,,26,39,33,,,,
,,26,38,24,,,,
,,26,36,36,,,,
,,25.9,36.3,30.2,,,,
2024-03-15_15-40,custom/15_30.qasm,25.9,36.3,30.2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",300,/home/inspur/ray_results/PPO_2024-03-15_15-40-36/PPO_CircuitEnvTest_v6_4fdc9_00000_0_2024-03-15_15-40-36/checkpoint_000000,
,,42,60,53,,,,
,,47,70,65,,,,
,,47,65,53,,,,
,,47,62,46,,,,
,,47,75,55,,,,
,,47,54,55,,,,
,,47,59,58,,,,
,,47,59,52,,,,
,,47,59,64,,,,
,,44,59,55,,,,
,,46.2,62.2,55.6,,,,
2024-03-15_16-30,custom/15_45.qasm,46.2,62.2,55.6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",300,/home/inspur/ray_results/PPO_2024-03-15_16-30-09/PPO_CircuitEnvTest_v6_3c28c_00000_0_2024-03-15_16-30-09/checkpoint_000000,
,,47,71,81,,,,
,,48,75,84,,,,
,,48,66,78,,,,
,,48,80,74,,,,
,,48,65,68,,,,
,,48,81,76,,,,
,,48,81,77,,,,
,,48,80,44,,,,
,,48,74,71,,,,
,,48,76,62,,,,
,,47.9,74.9,71.5,,,,
