datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,35,46,48,,,,
,,35,46,32,,,,
,,35,46,38,,,,
,,35,46,47,,,,
,,30,47,47,,,,
,,30,47,41,,,,
,,30,47,46,,,,
,,35,46,44,,,,
,,33,47,45,,,,
,,35,47,44,,,,
,,33.3,46.5,43.2,,,,
2024-03-13_21-49,custom\20_40.qasm,33.3,46.5,43.2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",200,C:/Users/90471/ray_results/PPO_2024-03-13_21-49-49/PPO_CircuitEnvTest_v6_8f97f_00000_0_2024-03-13_21-49-49/checkpoint_000000,PPO_2024-03-13_21-49-49
,,45,57,46,,,,
,,45,53,46,,,,
,,45,61,48,,,,
,,45,56,43,,,,
,,45,55,58,,,,
,,46,58,54,,,,
,,45,54,43,,,,
,,45,56,47,,,,
,,46,58,58,,,,
,,45,55,54,,,,
,,45.2,56.3,49.7,,,,
2024-03-14_00-59,custom\20_60.qasm,45.2,56.3,49.7,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",200,C:/Users/90471/ray_results/PPO_2024-03-14_01-00-04/PPO_CircuitEnvTest_v6_232f4_00000_0_2024-03-14_01-00-04/checkpoint_000000,PPO_2024-03-14_01-00-04
,,68,106,73,,,,
,,68,101,82,,,,
,,68,104,85,,,,
,,68,113,76,,,,
,,68,107,82,,,,
,,76,103,97,,,,
,,76,102,88,,,,
,,76,103,85,,,,
,,76,100,82,,,,
,,76,106,70,,,,
,,72,104.5,82,,,,
2024-03-14_04-13,custom\20_80.qasm,72,104.5,82,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",200,C:/Users/90471/ray_results/PPO_2024-03-14_04-13-55/PPO_CircuitEnvTest_v6_38263_00000_0_2024-03-14_04-13-55/checkpoint_000000,PPO_2024-03-14_04-13-55
,,76,126,99,,,,
,,74,122,82,,,,
,,76,129,91,,,,
,,74,126,99,,,,
,,74,125,92,,,,
,,76,125,97,,,,
,,76,130,103,,,,
,,74,122,100,,,,
,,74,120,103,,,,
,,74,127,98,,,,
,,74.8,125.2,96.4,,,,
2024-03-14_07-41,custom\20_100.qasm,74.8,125.2,96.4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",200,C:/Users/90471/ray_results/PPO_2024-03-14_07-42-04/PPO_CircuitEnvTest_v6_4bebc_00000_0_2024-03-14_07-42-04/checkpoint_000000,PPO_2024-03-14_07-42-04
,,103,152,98,,,,
,,102,156,102,,,,
,,103,154,99,,,,
,,103,158,134,,,,
,,103,159,104,,,,
,,102,148,117,,,,
,,102,161,129,,,,
,,103,160,113,,,,
,,103,151,110,,,,
,,103,154,114,,,,
,,102.7,155.3,112,,,,
2024-03-14_11-17,custom\20_120.qasm,102.7,155.3,112,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",200,C:/Users/90471/ray_results/PPO_2024-03-14_11-17-26/PPO_CircuitEnvTest_v6_61dbd_00000_0_2024-03-14_11-17-26/checkpoint_000000,PPO_2024-03-14_11-17-26
