datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,116,163,114,,,,
,,116,164,117,,,,
,,116,166,111,,,,
,,116,162,113,,,,
,,116,169,114,,,,
,,113,161,112,,,,
,,116,161,114,,,,
,,116,164,115,,,,
,,116,164,117,,,,
,,116,163,114,,,,
,,115.7,163.7,114.1,,,,
2024-04-21_22-55,custom/15_150.qasm,115.7,163.7,114.1,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",100,/home/lit/ray_results/PPO_2024-04-21_22-55-41/PPO_CircuitEnvTest_v7_38ebc_00000_0_2024-04-21_22-55-41/checkpoint_000000,PPO_2024-04-21_22-55-41
,,233,334,295,,,,
,,232,335,236,,,,
,,235,339,264,,,,
,,236,338,242,,,,
,,234,333,230,,,,
,,235,341,230,,,,
,,236,331,230,,,,
,,236,330,236,,,,
,,235,336,242,,,,
,,233,340,229,,,,
,,234.5,335.7,243.4,,,,
2024-04-22_09-27,custom/15_300.qasm,234.5,335.7,243.4,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",100,/home/lit/ray_results/PPO_2024-04-22_09-27-07/PPO_CircuitEnvTest_v7_6ef82_00000_0_2024-04-22_09-27-07/checkpoint_000000,PPO_2024-04-22_09-27-07
,,437,662,425,,,,
,,445,660,429,,,,
,,431,672,438,,,,
,,431,664,430,,,,
,,438,665,440,,,,
,,434,661,421,,,,
,,443,664,433,,,,
,,432,665,425,,,,
,,434,672,419,,,,
,,433,674,432,,,,
,,435.8,665.9,429.2,,,,
2024-04-22_09-51,custom/15_600.qasm,435.8,665.9,429.2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",100,/home/lit/ray_results/PPO_2024-04-22_09-51-45/PPO_CircuitEnvTest_v7_dfa39_00000_0_2024-04-22_09-51-45/checkpoint_000000,PPO_2024-04-22_09-51-45
,,972,1499,975,,,,
,,957,1504,963,,,,
,,991,1495,972,,,,
,,990,1500,982,,,,
,,954,1482,961,,,,
,,970,1515,965,,,,
,,977,1485,978,,,,
,,973,1493,985,,,,
,,969,1485,968,,,,
,,974,1500,967,,,,
,,972.7,1495.8,971.6,,,,
2024-04-22_10-52,custom/15_1200.qasm,972.7,1495.8,971.6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",100,/home/lit/ray_results/PPO_2024-04-22_10-52-14/PPO_CircuitEnvTest_v7_52db2_00000_0_2024-04-22_10-52-14/checkpoint_000000,PPO_2024-04-22_10-52-14
,,1976,3190,1964,,,,
,,1995,3167,2008,,,,
,,1990,3184,1965,,,,
,,2002,3169,1969,,,,
,,1959,3198,1978,,,,
,,1982,3146,1984,,,,
,,1993,3173,2021,,,,
,,2010,3164,1976,,,,
,,1975,3151,1981,,,,
,,1999,3145,1970,,,,
,,1988.1,3168.7,1981.6,,,,
2024-04-22_11-18,custom/15_2400.qasm,1988.1,3168.7,1981.6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",100,/home/lit/ray_results/PPO_2024-04-22_11-18-51/PPO_CircuitEnvTest_v7_0aeb2_00000_0_2024-04-22_11-18-51/checkpoint_000000,PPO_2024-04-22_11-18-51
