circuits,qiskit_gates,qiskit_depth,idle_ratio,rl_gates,rl_depth,idle_ratio
random/random_indep_qiskit_5.qasm,132,67,0.606,121,53,0.5434
amplitude_estimation/ae_indep_qiskit_40.qasm,5604,1371,0.8978,6339,1108,0.857
amplitude_estimation/ae_indep_qiskit_30.qasm,3109,885,0.8829,3493,837,0.8609
amplitude_estimation/ae_indep_qiskit_20.qasm,1345,486,0.8616,1372,482,0.8577
amplitude_estimation/ae_indep_qiskit_10.qasm,303,168,0.8196,300,146,0.7945
qnn/qnn_indep_qiskit_5.qasm,108,92,0.7652,105,63,0.6667
qnn/qnn_indep_qiskit_10.qasm,472,191,0.7529,433,184,0.7647
qnn/qnn_indep_qiskit_15.qasm,1095,483,0.8489,1113,330,0.7752
qnn/qnn_indep_qiskit_20.qasm,1992,610,0.8367,2310,445,0.7404
portfolio_vqe/portfoliovqe_indep_qiskit_10.qasm,666,257,0.7409,825,253,0.6739
portfolio_vqe/portfoliovqe_indep_qiskit_11.qasm,827,317,0.7628,938,270,0.6842
portfolio_vqe/portfoliovqe_indep_qiskit_12.qasm,964,285,0.7181,1216,332,0.6948
portfolio_vqe/portfoliovqe_indep_qiskit_13.qasm,1167,335,0.732,1422,335,0.6735
portfolio_vqe/portfoliovqe_indep_qiskit_14.qasm,1394,500,0.8009,1670,386,0.691
portfolio_vqe/portfoliovqe_indep_qiskit_15.qasm,1582,507,0.792,1948,428,0.6966
amplitude_estimation/ae_indep_qiskit_10.qasm,309,185,0.833,297,162,0.8167
amplitude_estimation/ae_indep_qiskit_10.qasm,306,180,0.83,297,170,0.8253
amplitude_estimation/ae_indep_qiskit_10.qasm,306,205,0.8507,297,181,0.8359
