datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,268,354,231,,,,
,,283,275,231,,,,
,,250,348,231,,,,
,,262,355,231,,,,
,,253,291,231,,,,
,,256,229,231,,,,
,,277,246,231,,,,
,,268,275,231,,,,
,,256,224,231,,,,
,,277,279,231,,,,
,,265,287.6,231,,,,
2024-01-04_08-13,portfolio_vqe/portfoliovqe_indep_qiskit_10.qasm,265,287.6,231,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-04_08-13-46/PPO_CircuitEnvTest_v5_20a37_00000_0_2024-01-04_08-13-46/checkpoint_000000,PPO_2024-01-04_08-13-46
,,271,349,266,,,,
,,265,334,267,,,,
,,271,244,279,,,,
,,269,327,265,,,,
,,261,336,272,,,,
,,271,357,259,,,,
,,264,331,256,,,,
,,265,363,267,,,,
,,264,302,267,,,,
,,275,339,256,,,,
,,267.6,328.2,265.4,,,,
2024-01-04_10-06,portfolio_vqe/portfoliovqe_indep_qiskit_11.qasm,267.6,328.2,265.4,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-04_10-07-06/PPO_CircuitEnvTest_v5_f58a8_00000_0_2024-01-04_10-07-06/checkpoint_000000,PPO_2024-01-04_10-07-06
,,332,442,281,,,,
,,325,329,281,,,,
,,319,330,280,,,,
,,343,336,281,,,,
,,325,359,281,,,,
,,332,388,281,,,,
,,332,375,281,,,,
,,319,334,281,,,,
,,326,286,281,,,,
,,332,357,281,,,,
,,328.5,353.6,280.9,,,,
