datetime,qasm,rl,rl_qiskit,qiskit,result,iter,checkpoint,remark
,,403,432,581,,,,
,,444,416,542,,,,
,,427,428,501,,,,
,,404,434,614,,,,
,,414,428,522,,,,
,,408,429,571,,,,
,,410,401,523,,,,
,,396,411,530,,,,
,,421,446,502,,,,
,,411,427,546,,,,
,,413.8,425.2,543.2,,,,
2023-12-31_21-16,portfolio_vqe/portfoliovqe_indep_qiskit_15.qasm,413.8,425.2,543.2,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",500,/home/lit/ray_results/PPO_2023-12-31_21-16-22/PPO_CircuitEnvTest_v4_c23db_00000_0_2023-12-31_21-16-23/checkpoint_000000,
,,661,726,490,,,,
,,648,722,610,,,,
,,757,680,553,,,,
,,703,710,538,,,,
,,788,704,621,,,,
,,727,669,469,,,,
,,709,744,578,,,,
,,712,698,512,,,,
,,673,670,568,,,,
,,656,721,582,,,,
,,703.4,704.4,552.1,,,,
2023-12-31_21-16,portfolio_vqe/portfoliovqe_indep_qiskit_16.qasm,703.4,704.4,552.1,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",500,/home/lit/ray_results/PPO_2023-12-31_23-26-47/PPO_CircuitEnvTest_v4_fa0c1_00000_0_2023-12-31_23-26-47/checkpoint_000000,
,,474,875,610,,,,
,,464,570,649,,,,
,,465,837,668,,,,
,,461,812,648,,,,
,,490,522,581,,,,
,,480,897,604,,,,
,,458,837,575,,,,
,,472,832,615,,,,
,,465,858,592,,,,
,,458,799,611,,,,
,,468.7,783.9,615.3,,,,
2023-12-31_21-16,portfolio_vqe/portfoliovqe_indep_qiskit_17.qasm,468.7,783.9,615.3,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",500,/home/lit/ray_results/PPO_2024-01-01_02-28-37/PPO_CircuitEnvTest_v4_61145_00000_0_2024-01-01_02-28-37/checkpoint_000000,
,,702,828,677,,,,
,,715,776,767,,,,
,,650,755,607,,,,
,,666,841,656,,,,
,,603,808,715,,,,
,,705,779,660,,,,
,,521,771,747,,,,
,,701,827,721,,,,
,,797,805,833,,,,
,,771,791,679,,,,
,,683.1,798.1,706.2,,,,
2023-12-31_21-16,portfolio_vqe/portfoliovqe_indep_qiskit_18.qasm,683.1,798.1,706.2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",500,/home/lit/ray_results/PPO_2024-01-01_05-08-20/PPO_CircuitEnvTest_v4_b0d88_00000_0_2024-01-01_05-08-20/checkpoint_000000,
