datetime,qasm,rl,qiskit,rl_qiskit,result,iter,checkpoint,remark
,,25,25,34,,,,
,,25,25,32,,,,
,,25,25,31,,,,
,,25,25,34,,,,
,,25,25,36,,,,
,,25,25,36,,,,
,,25,25,36,,,,
,,25,25,32,,,,
,,25,25,36,,,,
,,25,25,36,,,,
,,25,25,34.3,,,,
2023-12-24_23-13,qnn/qnn_indep_qiskit_3.qasm,25,25,34.3,"[1, 1, 1]",200,/home/lit/ray_results/PPO_2023-12-24_23-13-41/PPO_CircuitEnvTest_v4_fc8f6_00000_0_2023-12-24_23-13-41/checkpoint_000000,
,,35,35,59,,,,
,,35,35,48,,,,
,,35,35,59,,,,
,,35,35,59,,,,
,,35,35,48,,,,
,,35,35,59,,,,
,,35,35,59,,,,
,,35,35,59,,,,
,,35,35,59,,,,
,,35,35,59,,,,
,,35,35,56.8,,,,
2023-12-24_23-13,qnn/qnn_indep_qiskit_4.qasm,35,35,56.8,"[1, 1, 1, 1, 1, 1]",200,/home/lit/ray_results/PPO_2023-12-24_23-48-26/PPO_CircuitEnvTest_v4_d7214_00000_0_2023-12-24_23-48-26/checkpoint_000000,
,,64,64,92,,,,
,,54,64,92,,,,
,,64,64,92,,,,
,,63,64,80,,,,
,,64,64,91,,,,
,,64,64,88,,,,
,,64,61,92,,,,
,,64,67,91,,,,
,,64,60,92,,,,
,,64,60,92,,,,
,,62.9,63.2,90.2,,,,
2023-12-24_23-13,qnn/qnn_indep_qiskit_5.qasm,62.9,63.2,90.2,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",200,/home/lit/ray_results/PPO_2023-12-25_00-32-09/PPO_CircuitEnvTest_v4_f2ac5_00000_0_2023-12-25_00-32-09/checkpoint_000000,
