datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,108,113,75,,,,
,,108,101,86,,,,
,,108,107,94,,,,
,,108,107,88,,,,
,,108,113,88,,,,
,,102,113,86,,,,
,,102,113,95,,,,
,,108,101,74,,,,
,,102,113,88,,,,
,,108,113,73,,,,
,,106.2,109.4,84.7,,,,
2024-01-01_10-25,su2/su2random_indep_qiskit_6.qasm,106.2,84.7,109.4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-01_10-25-57/PPO_CircuitEnvTest_v5_0fbc1_00000_0_2024-01-01_10-25-57/checkpoint_000000,PPO_2024-01-01_10-25-57
,,129,126,142,,,,
,,132,126,121,,,,
,,124,131,128,,,,
,,133,128,135,,,,
,,123,119,110,,,,
,,127,124,133,,,,
,,138,124,130,,,,
,,140,127,120,,,,
,,135,131,134,,,,
,,117,119,116,,,,
,,129.8,125.5,126.9,,,,
2024-01-01_10-25,su2/su2random_indep_qiskit_7.qasm,129.8,126.9,125.5,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-01_11-56-59/PPO_CircuitEnvTest_v5_c7727_00000_0_2024-01-01_11-56-59/checkpoint_000000,PPO_2024-01-01_11-56-59
,,191,162,165,,,,
,,187,167,160,,,,
,,179,167,165,,,,
,,193,167,165,,,,
,,179,167,155,,,,
,,170,162,156,,,,
,,180,167,161,,,,
,,187,167,161,,,,
,,184,167,174,,,,
,,195,167,164,,,,
,,184.5,166,162.6,,,,
2024-01-01_10-25,su2/su2random_indep_qiskit_8.qasm,184.5,162.6,166,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-01_13-31-17/PPO_CircuitEnvTest_v5_f3f9d_00000_0_2024-01-01_13-31-17/checkpoint_000000,PPO_2024-01-01_13-31-17
,,228,165,169,,,,
,,223,172,183,,,,
,,232,165,176,,,,
,,226,170,194,,,,
,,230,165,204,,,,
,,241,164,188,,,,
,,238,165,214,,,,
,,241,164,188,,,,
,,230,166,172,,,,
,,231,172,181,,,,
,,232,166.8,186.9,,,,
2024-01-01_10-25,su2/su2random_indep_qiskit_9.qasm,232,186.9,166.8,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-01_15-13-21/PPO_CircuitEnvTest_v5_35fb5_00000_0_2024-01-01_15-13-21/checkpoint_000000,PPO_2024-01-01_15-13-21
,,192,184,220,,,,
,,193,184,193,,,,
,,180,184,229,,,,
,,179,184,161,,,,
,,180,184,216,,,,
,,179,184,163,,,,
,,197,184,170,,,,
,,180,184,207,,,,
,,180,184,150,,,,
,,180,184,176,,,,
,,184,184,188.5,,,,
2024-01-01_10-25,su2/su2random_indep_qiskit_10.qasm,184,188.5,184,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",450,/home/lit/ray_results/PPO_2024-01-01_17-04-10/PPO_CircuitEnvTest_v5_b1142_00000_0_2024-01-01_17-04-10/checkpoint_000000,PPO_2024-01-01_17-04-10
