Wall time,Step,Value,relative
1712373180,4000,0.893712342,0 
1712373358,8000,0.48665601,179 
1712373525,12000,0.437195271,346 
1712373671,16000,0.502832055,492 
1712373837,20000,0.58234477,657 
1712373991,24000,0.534522176,812 
1712374140,28000,0.56398344,961 
1712374282,32000,0.631931543,1102 
1712374424,36000,0.612011373,1245 
1712374561,40000,0.674511373,1381 
1712374703,44000,0.755488932,1524 
1712374836,48000,0.67612052,1656 
1712374972,52000,0.786504507,1792 
1712375100,56000,0.737366498,1920 
1712375224,60000,0.777729869,2044 
1712375364,64000,0.714374483,2184 
1712375494,68000,0.665470243,2314 
1712375610,72000,0.724220812,2430 
1712375736,76000,0.724687576,2556 
1712375856,80000,0.830724001,2676 
1712375979,84000,0.750725448,2800 
1712376090,88000,0.92561239,2911 
1712376217,92000,0.745900571,3038 
1712376341,96000,0.677874565,3162 
1712376449,100000,0.831494093,3270 
1712376556,104000,0.697541595,3377 
1712376667,108000,0.558030486,3487 
1712376771,112000,0.611513376,3592 
1712376879,116000,0.533160925,3700 
1712377002,120000,0.594574451,3822 
1712377105,124000,0.680020511,3926 
1712377207,128000,0.557870686,4027 
1712377318,132000,0.538014114,4139 
1712377422,136000,0.424125493,4243 
1712377526,140000,0.43516323,4347 
1712377633,144000,0.376627296,4453 
1712377734,148000,0.371294379,4554 
1712377836,152000,0.295957059,4656 
1712377939,156000,0.273472428,4760 
1712378039,160000,0.18129009,4860 
1712378144,164000,0.202684864,4965 
1712378255,168000,0.183503643,5075 
1712378355,172000,0.106886387,5175 
1712378453,176000,0.096138373,5274 
1712378558,180000,0.027460137,5379 
1712378665,184000,0.072751567,5486 
1712378776,188000,0.003183478,5597 
1712378888,192000,0.023826886,5708 
1712378997,196000,-0.002457824,5818 
1712379102,200000,0.023670807,5922 
1712379210,204000,-0.033020798,6031 
1712379325,208000,0.025361983,6146 
1712379432,212000,-0.014692394,6252 
1712379537,216000,0.020302415,6358 
1712379635,220000,0.010758548,6456 
1712379746,224000,0.00895159,6567 
1712379850,228000,0.029698038,6671 
1712379955,232000,0.026485579,6776 
1712380068,236000,0.021448003,6888 
1712380175,240000,0.021959146,6996 
