Wall time,Step,Value,relative
1712373180,4000,0.010017194,0
1712373358,8000,0.009168003,178.7038598
1712373525,12000,0.010144061,345.9135599
1712373671,16000,0.010108611,491.9217799
1712373837,20000,0.010836688,657.0464199
1712373991,24000,0.01071758,811.6567998
1712374140,28000,0.010562335,960.8523998
1712374282,32000,0.011160818,1102.23094
1712374424,36000,0.010264298,1244.87589
1712374561,40000,0.011338617,1381.25971
1712374703,44000,0.013197842,1523.88927
1712374836,48000,0.012866294,1656.42912
1712374972,52000,0.012848631,1791.9813
1712375100,56000,0.013109542,1920.30523
1712375224,60000,0.013639208,2044.27433
1712375364,64000,0.014330412,2183.9468
1712375494,68000,0.01456941,2314.36449
1712375610,72000,0.01604918,2430.05073
1712375736,76000,0.014990023,2556.37431
1712375856,80000,0.015861565,2676.35768
1712375979,84000,0.016584024,2799.80319
1712376090,88000,0.017121818,2910.85986
1712376217,92000,0.018760715,3037.76841
1712376341,96000,0.01785282,3161.50913
1712376449,100000,0.019453021,3269.5913
1712376556,104000,0.018340588,3376.64054
1712376667,108000,0.019325692,3487.32686
1712376771,112000,0.019816725,3591.6888
1712376879,116000,0.019855352,3699.91411
1712377002,120000,0.021160271,3821.95705
1712377105,124000,0.019224072,3925.55194
1712377207,128000,0.019893751,4027.10479
1712377318,132000,0.019127764,4138.76741
1712377422,136000,0.020141469,4242.52652
1712377526,140000,0.018498082,4346.80935
1712377633,144000,0.018328508,4453.11613
1712377734,148000,0.018184576,4554.29723
1712377836,152000,0.016502131,4656.34586
1712377939,156000,0.017828314,4759.90965
1712378039,160000,0.017664449,4859.76054
1712378144,164000,0.01722849,4964.76569
1712378255,168000,0.0165656,5075.23878
1712378355,172000,0.018519236,5175.15501
1712378453,176000,0.017776186,5273.52908
1712378558,180000,0.014939608,5378.75157
1712378665,184000,0.012396746,5485.71945
1712378776,188000,0.015817173,5596.57487
1712378888,192000,0.01421928,5708.49749
1712378997,196000,0.017363248,5817.90557
1712379102,200000,0.017970985,5922.17726
1712379210,204000,0.023079965,6030.83221
1712379325,208000,0.011199789,6145.7082
1712379432,212000,0.013119697,6252.36574
1712379537,216000,0.011432581,6357.74891
1712379635,220000,0.008565436,6455.89415
1712379746,224000,0.007932207,6566.60604
1712379850,228000,0.007660182,6670.63197
1712379955,232000,0.007906881,6775.71796
1712380068,236000,0.007113438,6888.15316
1712380175,240000,0.006398479,6995.66606
