Wall time,Step,Value
1712373180,4000,181.98 
1712373358,8000,180.31 
1712373525,12000,175.92 
1712373671,16000,168.43 
1712373837,20000,167.76 
1712373991,24000,165.55 
1712374140,28000,163.21 
1712374282,32000,160.47 
1712374424,36000,158.48 
1712374561,40000,156.27 
1712374703,44000,152.32 
1712374836,48000,147.71 
1712374972,52000,144.54 
1712375100,56000,142.77 
1712375224,60000,138.66 
1712375364,64000,137.16 
1712375494,68000,135.29 
1712375610,72000,132.72 
1712375736,76000,131.08 
1712375856,80000,129.44 
1712375979,84000,127.53 
1712376090,88000,125.38 
1712376217,92000,124.51 
1712376341,96000,124.05 
1712376449,100000,122.47 
1712376556,104000,119.20 
1712376667,108000,117.23 
1712376771,112000,116.10 
1712376879,116000,114.29 
1712377002,120000,114.50 
1712377105,124000,112.51 
1712377207,128000,111.56 
1712377318,132000,110.04 
1712377422,136000,108.04 
1712377526,140000,107.66 
1712377633,144000,107.58 
1712377734,148000,106.63 
1712377836,152000,106.40 
1712377939,156000,105.93 
1712378039,160000,103.71 
1712378144,164000,103.85 
1712378255,168000,104.74 
1712378355,172000,103.57 
1712378453,176000,103.03 
1712378558,180000,103.12 
1712378665,184000,103.19 
1712378776,188000,104.15 
1712378888,192000,105.14 
1712378997,196000,105.72 
1712379102,200000,106.16 
1712379210,204000,106.53 
1712379325,208000,106.97 
1712379432,212000,107.64 
1712379537,216000,108.34 
1712379635,220000,107.64 
1712379746,224000,108.01 
1712379850,228000,107.33 
1712379955,232000,106.64 
1712380068,236000,106.94 
1712380175,240000,107.27 
