Wall time,Step,Value,relative
1712390266,4000,0.014121133,0
1712390384,8000,0.014731828,118.2
1712390507,12000,0.013648206,241.08
1712390626,16000,0.015897572,360.64
1712390752,20000,0.016567051,486.01
1712390879,24000,0.016451588,612.98
1712391007,28000,0.015667606,741.08
1712391157,32000,0.016182138,891.94
1712391290,36000,0.018546278,1024.7
1712391428,40000,0.015061501,1162.34
1712391571,44000,0.016939122,1305.46
1712391712,48000,0.016661622,1446.48
1712391858,52000,0.017836869,1592.46
1712392021,56000,0.015853882,1755.42
1712392185,60000,0.017119041,1919.39
1712392345,64000,0.017216021,2079.44
1712392500,68000,0.019655194,2234.2
1712392643,72000,0.016968278,2377.08
1712392795,76000,0.01646008,2529.82
1712392956,80000,0.017762505,2690.21
1712393121,84000,0.017980022,2855.25
1712393289,88000,0.01926708,3023.21
1712393457,92000,0.019544605,3191.8
1712393618,96000,0.018942289,3352.92
1712393791,100000,0.018205678,3525.7
1712393953,104000,0.019120954,3687.52
1712394121,108000,0.021391468,3855.47
1712394292,112000,0.017754542,4026.43
1712394447,116000,0.017354466,4181.28
1712394614,120000,0.01682481,4348.74
1712394781,124000,0.01841153,4515.87
1712394951,128000,0.018787321,4685.75
1712395121,132000,0.021163791,4855.83
1712395293,136000,0.016764913,5027.54
1712395465,140000,0.01739311,5199.13
1712395633,144000,0.017766653,5367.43
1712395810,148000,0.018534318,5544.2
1712395978,152000,0.019695507,5711.98
1712396147,156000,0.021393353,5881.07
1712396313,160000,0.020041246,6047.3
1712396479,164000,0.015705474,6213.43
1712396640,168000,0.015166821,6374.49
1712396800,172000,0.015507765,6534.83
1712396965,176000,0.016314603,6699.58
1712397132,180000,0.014653006,6866.34
1712397286,184000,0.013675808,7020.19
1712397444,188000,0.012053534,7178.33
1712397599,192000,0.013023904,7333.51
1712397754,196000,0.011591475,7488.82
1712397903,200000,0.010246143,7637.42
1712398056,204000,0.011294199,7790.44
1712398211,208000,0.007738932,7945.73
1712398363,212000,0.009268178,8097.95
1712398516,216000,0.007890342,8250.66
1712398665,220000,0.007535593,8399.25
1712398810,224000,0.005521266,8544.8
1712398960,228000,0.007115811,8694.11
1712399109,232000,0.006388555,8843.69
1712399258,236000,0.006873673,8992.34
1712399408,240000,0.005544018,9142.31
